video_annotation_label_id,label_name,label_hierarchy,frames,unspecific,order,family,genus,species,interested,feeding
3244280,Undulated (Gymnothorax undulatus),Eels > Morays (Muraenidae) > Undulated (Gymnothorax undulatus),[215.353004291],Eels,,Muraenidae,Gymnothorax,Undulated (Gymnothorax undulatus),,
3244285,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),[9.418792359],Wrasses,,Labridae,Thalassoma,Sixbar (Thalassoma hardwicke),,
3244292,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),[1.2109272],Small Ovals,,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,
3244318,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),[1.6253823],Small Ovals,,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,
3244339,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),[9.779700038666752],Wrasses,,Labridae,Thalassoma,Moon (Thalassoma lunare),,
3244347,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),[33.165782984],Odd,,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,
3244349,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),[33.165782984],Odd,,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,
3244389,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),[21.958253479],Wrasses,,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,
3244391,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),[19.933390495],Small Ovals,,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,
3244392,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),[19.933390495],Small Ovals,,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,
3244393,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),[19.933390495],Small Ovals,,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,
3244394,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),[19.933390495],Small Ovals,,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,
3244395,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),[19.933390495],Small Ovals,,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,
3244408,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[33.0746420283326],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244409,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244410,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244411,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244412,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244413,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244414,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244415,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244416,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244417,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244418,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244419,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244420,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244421,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244422,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244423,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244424,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244425,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244426,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244427,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244428,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244429,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244430,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244431,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244432,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244433,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244434,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244435,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244436,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244437,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244438,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244439,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244440,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244441,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244442,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244443,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
3244444,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),[656.218610457],Small Ovals,,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,
