label_name,label_hierarchy,count,file_name
Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),128,22375-2510milimani-c10-makarel-ganz.csv
Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),122,22375-2510milimani-c10-makarel-ganz.csv
Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),86,22375-2510milimani-c10-makarel-ganz.csv
Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),12,22375-2510milimani-c10-makarel-ganz.csv
Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),10,22375-2510milimani-c10-makarel-ganz.csv
Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),10,22375-2510milimani-c10-makarel-ganz.csv
Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),7,22375-2510milimani-c10-makarel-ganz.csv
Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),7,22375-2510milimani-c10-makarel-ganz.csv
Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),6,22375-2510milimani-c10-makarel-ganz.csv
Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),6,22375-2510milimani-c10-makarel-ganz.csv
Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),6,22375-2510milimani-c10-makarel-ganz.csv
Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),5,22375-2510milimani-c10-makarel-ganz.csv
Indian Longnose (Hipposcarus harid),Parrotfishes > Parrotfishes (Scaridae) > Indian Longnose (Hipposcarus harid),4,22375-2510milimani-c10-makarel-ganz.csv
Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),4,22375-2510milimani-c10-makarel-ganz.csv
Wrasses (Labridae),Wrasses > Wrasses (Labridae),4,22375-2510milimani-c10-makarel-ganz.csv
Thumbprint (Lethrinus harak),Sloping Heads > Emperors (Lethrinidae) > Thumbprint (Lethrinus harak),4,22375-2510milimani-c10-makarel-ganz.csv
Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),3,22375-2510milimani-c10-makarel-ganz.csv
Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),3,22375-2510milimani-c10-makarel-ganz.csv
Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),3,22375-2510milimani-c10-makarel-ganz.csv
Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),3,22375-2510milimani-c10-makarel-ganz.csv
Bluefin (Caranx melampygus),Silvery > Jacks/Trevallyes (Carangidae) > Bluefin (Caranx melampygus),3,22375-2510milimani-c10-makarel-ganz.csv
Black-backed (Chaetodon melannotus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-backed (Chaetodon melannotus),3,22375-2510milimani-c10-makarel-ganz.csv
Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),3,22375-2510milimani-c10-makarel-ganz.csv
Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),3,22375-2510milimani-c10-makarel-ganz.csv
Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),3,22375-2510milimani-c10-makarel-ganz.csv
Indian Redfin (Chaetodon trifasciatus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Indian Redfin (Chaetodon trifasciatus),3,22375-2510milimani-c10-makarel-ganz.csv
Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),3,22375-2510milimani-c10-makarel-ganz.csv
Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),3,22375-2510milimani-c10-makarel-ganz.csv
Linedcheeked (Oxycheilinus digramma),Wrasses > Wrasses (Labridae) > Linedcheeked (Oxycheilinus digramma),2,22375-2510milimani-c10-makarel-ganz.csv
Swarthy (Scarus niger),Parrotfishes > Parrotfishes (Scaridae) > Swarthy (Scarus niger),2,22375-2510milimani-c10-makarel-ganz.csv
Barred (Hemigymnus fasciatus),Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus),2,22375-2510milimani-c10-makarel-ganz.csv
Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),2,22375-2510milimani-c10-makarel-ganz.csv
Genus Canthigaster,Odd-shaped Swimmers > Puffers (Tetraodontidae) > Genus Canthigaster,2,22375-2510milimani-c10-makarel-ganz.csv
Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),2,22375-2510milimani-c10-makarel-ganz.csv
Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa),2,22375-2510milimani-c10-makarel-ganz.csv
Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),2,22375-2510milimani-c10-makarel-ganz.csv
Axilspot Hogfish (Bodianus axillaris),Wrasses > Wrasses (Labridae) > Axilspot Hogfish (Bodianus axillaris),1,22375-2510milimani-c10-makarel-ganz.csv
Blackeye (Hemigymnus melapterus),Wrasses > Wrasses (Labridae) > Blackeye (Hemigymnus melapterus),1,22375-2510milimani-c10-makarel-ganz.csv
Humpback Unicorn (Naso brachycentron),Large Ovals > Surgeonfishes (Acanthuridae) > Humpback Unicorn (Naso brachycentron),1,22375-2510milimani-c10-makarel-ganz.csv
Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),1,22375-2510milimani-c10-makarel-ganz.csv
Blennies (Blenniidae),Blennies > Blennies (Blenniidae),1,22375-2510milimani-c10-makarel-ganz.csv
Checkerboard (Halichoeres hortulanus),Wrasses > Wrasses (Labridae) > Checkerboard (Halichoeres hortulanus),1,22375-2510milimani-c10-makarel-ganz.csv
Bridled (Scarus frenatus),Parrotfishes > Parrotfishes (Scaridae) > Bridled (Scarus frenatus),1,22375-2510milimani-c10-makarel-ganz.csv
Blue-streak (Labroides dimidiatus),Wrasses > Wrasses (Labridae) > Blue-streak (Labroides dimidiatus),1,22375-2510milimani-c10-makarel-ganz.csv
Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),1,22375-2510milimani-c10-makarel-ganz.csv
Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus),1,22375-2510milimani-c10-makarel-ganz.csv
Red-breasted (Cheilinus fasciatus),Wrasses > Wrasses (Labridae) > Red-breasted (Cheilinus fasciatus),1,22375-2510milimani-c10-makarel-ganz.csv
Peacock (Cephalopholis argus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Peacock (Cephalopholis argus),1,22375-2510milimani-c10-makarel-ganz.csv
Spotted (Diodon hystrix),Odd-shaped Swimmers > Porcupinefishes (Diodontidae) > Spotted (Diodon hystrix),1,22375-2510milimani-c10-makarel-ganz.csv
Titan (Balistoides viridescens),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Titan (Balistoides viridescens),1,22375-2510milimani-c10-makarel-ganz.csv
Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers > Trumpetfishes (Aulostomidae) > Trumpetfish (Aulostomus chinensis),1,22375-2510milimani-c10-makarel-ganz.csv
Undulated (Gymnothorax undulatus),Eels > Morays (Muraenidae) > Undulated (Gymnothorax undulatus),1,22375-2510milimani-c10-makarel-ganz.csv
Undulated Feeding,Eels > Morays (Muraenidae) > Undulated (Gymnothorax undulatus) > Undulated Feeding,1,22375-2510milimani-c10-makarel-ganz.csv
Whiteline (Stethojulis albovittata),Wrasses > Wrasses (Labridae) > Whiteline (Stethojulis albovittata),1,22375-2510milimani-c10-makarel-ganz.csv
Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,35,22929-261024-milimani-c8-glasnudel-ganz.csv
Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),15,22929-261024-milimani-c8-glasnudel-ganz.csv
Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),12,22929-261024-milimani-c8-glasnudel-ganz.csv
Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),9,22929-261024-milimani-c8-glasnudel-ganz.csv
Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),7,22929-261024-milimani-c8-glasnudel-ganz.csv
Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),4,22929-261024-milimani-c8-glasnudel-ganz.csv
Genus Naso,Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso,3,22929-261024-milimani-c8-glasnudel-ganz.csv
Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),3,22929-261024-milimani-c8-glasnudel-ganz.csv
Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),3,22929-261024-milimani-c8-glasnudel-ganz.csv
Barred (Hemigymnus fasciatus),Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Honeycomb (Siganus stellatus),Large Ovals > Rabbitfishes (Siganidae) > Honeycomb (Siganus stellatus),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Puffers (Tetraodontidae),Odd-shaped Swimmers > Puffers (Tetraodontidae),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Lined (Chaetodon lineolatus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Lined (Chaetodon lineolatus),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Wrasses (Labridae),Wrasses > Wrasses (Labridae),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),2,22929-261024-milimani-c8-glasnudel-ganz.csv
Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,2,22929-261024-milimani-c8-glasnudel-ganz.csv
Axilspot Hogfish (Bodianus axillaris),Wrasses > Wrasses (Labridae) > Axilspot Hogfish (Bodianus axillaris),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Blackeye (Hemigymnus melapterus),Wrasses > Wrasses (Labridae) > Blackeye (Hemigymnus melapterus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Genus Acanthurus,Large Ovals > Surgeonfishes (Acanthuridae) > Genus Acanthurus,1,22929-261024-milimani-c8-glasnudel-ganz.csv
Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Chevroned (Chaetodon trifascialis),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Chevroned (Chaetodon trifascialis),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Checkerboard (Halichoeres hortulanus),Wrasses > Wrasses (Labridae) > Checkerboard (Halichoeres hortulanus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Indian Redfin (Chaetodon trifasciatus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Indian Redfin (Chaetodon trifasciatus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Linedcheeked (Oxycheilinus digramma),Wrasses > Wrasses (Labridae) > Linedcheeked (Oxycheilinus digramma),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Red-breasted (Cheilinus fasciatus),Wrasses > Wrasses (Labridae) > Red-breasted (Cheilinus fasciatus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Snubnose (Lethrinus borbonicus),Sloping Heads > Emperors (Lethrinidae) > Snubnose (Lethrinus borbonicus),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Swarthy (Scarus niger),Parrotfishes > Parrotfishes (Scaridae) > Swarthy (Scarus niger),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Titan (Balistoides viridescens),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Titan (Balistoides viridescens),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers > Trumpetfishes (Aulostomidae) > Trumpetfish (Aulostomus chinensis),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Tunas/Mackerels (Scombridae),Silvery > Tunas/Mackerels (Scombridae),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Wirenet (Cantherhines pardalis),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Wirenet (Cantherhines pardalis),1,22929-261024-milimani-c8-glasnudel-ganz.csv
Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),140,22376-2510utumbi-c8-meersalat-ganz.csv
Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),106,22376-2510utumbi-c8-meersalat-ganz.csv
Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),88,22376-2510utumbi-c8-meersalat-ganz.csv
Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,61,22376-2510utumbi-c8-meersalat-ganz.csv
Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),38,22376-2510utumbi-c8-meersalat-ganz.csv
Jacks/Trevallyes (Carangidae),Silvery > Jacks/Trevallyes (Carangidae),10,22376-2510utumbi-c8-meersalat-ganz.csv
Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),9,22376-2510utumbi-c8-meersalat-ganz.csv
Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),9,22376-2510utumbi-c8-meersalat-ganz.csv
